 	Area	Mean	Min	Max
1981	344064	355.205	258	4095
1982	344064	355.438	259	4095
1983	344064	354.734	259	4095
1984	344064	355.231	261	4095
1985	344064	355.405	261	4095
1986	344064	354.416	258	3985
1987	344064	354.285	260	4095
1988	344064	353.666	261	4095
1989	344064	353.204	261	4095
1990	344064	353.189	257	4095
1991	344064	353.558	263	4095
1992	344064	353.584	259	4095
1993	344064	352.417	260	4095
1994	344064	352.482	261	4095
1995	344064	352.341	260	3889
1996	344064	351.638	260	4095
1997	344064	351.374	254	4095
1998	344064	351.212	253	4095
1999	344064	351.310	256	4095
2000	344064	350.485	257	4095
2001	344064	350.606	257	4035
2002	344064	350.474	257	4095
2003	344064	350.478	259	4095
2004	344064	350.275	256	4095
2005	344064	349.822	257	4095
2006	344064	349.773	260	4095
2007	344064	349.859	257	4095
2008	344064	349.381	257	4095
2009	344064	349.747	260	4095
2010	344064	349.535	259	4095
2011	344064	349.346	258	4095
2012	344064	349.134	254	4095
2013	344064	348.837	260	4095
2014	344064	348.865	253	4095
2015	344064	349.335	259	4095
2016	344064	349.115	259	4095
2017	344064	348.559	260	4095
2018	344064	348.430	260	4095
2019	344064	348.672	255	4095
2020	344064	348.662	259	4095
2021	344064	348.646	260	4095
2022	344064	348.225	260	4095
2023	344064	348.195	255	4095
2024	344064	348.400	257	4095
2025	344064	348.413	254	4095
2026	344064	350.510	258	3986
2027	344064	348.458	254	4095
2028	344064	348.270	256	4095
2029	344064	348.029	258	4095
2030	344064	348.294	259	4009
2031	344064	348.563	256	4095
2032	344064	348.662	253	4095
2033	344064	348.487	258	4095
2034	344064	348.278	261	4007
2035	344064	348.026	258	4095
2036	344064	348.153	257	3920
2037	344064	348.073	251	3942
2038	344064	348.201	258	4095
2039	344064	347.819	255	4095
2040	344064	348.126	254	4095
2041	344064	348.033	257	4095
2042	344064	347.749	256	4013
2043	344064	347.843	260	4095
2044	344064	347.836	260	4095
2045	344064	348.535	257	3990
2046	344064	348.484	257	3973
2047	344064	347.968	255	3815
2048	344064	347.699	255	4095
2049	344064	347.582	255	4095
2050	344064	347.647	257	4095
2051	344064	347.689	258	4095
2052	344064	347.398	255	4095
2053	344064	347.412	253	4095
2054	344064	347.327	259	4095
2055	344064	347.137	254	4095
2056	344064	347.253	259	4095
2057	344064	347.964	255	4095
2058	344064	347.678	257	3928
2059	344064	779.626	595	4095
2060	344064	781.191	606	4095
2061	344064	781.485	606	4095
2062	344064	782.579	596	4095
2063	344064	783.038	600	4095
2064	344064	659.527	502	4095
2065	344064	660.002	490	4095
